,decay,time,log_decay,log_time
252,940,16707,6.845879875,9.723583072
253,1580,16739,7.365180126,9.725496605
254,840,16925,6.733401892,9.736547098
255,1060,17155,6.966024187,9.750044955
256,800,17311,6.684611728,9.759097417
257,700,17323,6.551080335,9.759790377
258,760,17409,6.633318433,9.764742593
259,940,17416,6.845879875,9.765144603
260,3300,17440,8.101677747,9.766521697
261,340,17497,5.828945618,9.769784717
262,1740,17657,7.461640392,9.778887584
263,380,17685,5.940171253,9.780472102
264,3900,17751,8.268731832,9.784197131
265,200,17767,5.298317367,9.785098083
266,180,17785,5.192956851,9.786110684
267,4340,17914,8.375629627,9.793337809
268,580,18011,6.363028104,9.798737961
269,260,18133,5.560681631,9.805488762
270,12900,18154,9.46498259,9.806646201
271,2300,18327,7.740664402,9.816130661
272,760,18332,6.633318433,9.816403446
273,1280,18364,7.154615357,9.818147505
274,2240,18454,7.714231145,9.823036428
275,560,18488,6.327936784,9.824877152
276,1660,18541,7.414572881,9.827739775
277,6840,18660,8.830543011,9.834137474
278,920,18684,6.82437367,9.835422822
279,400,18706,5.991464547,9.836599607
280,540,18741,6.29156914,9.838468916
281,1500,18823,7.313220387,9.842834805
282,4520,18948,8.416267273,9.849453664
283,240,18996,5.480638923,9.85198371
284,1960,19060,7.580699752,9.855347177
285,640,19132,6.461468176,9.859117605
286,2920,19141,7.979338895,9.85958791
287,580,19255,6.363028104,9.865526046
288,220,19281,5.393627546,9.866875434
289,1300,19373,7.170119543,9.871635623
290,2220,19538,7.705262475,9.880116566
291,2440,19544,7.799753318,9.880423613
292,1240,19586,7.122866659,9.882570304
293,500,19586,6.214608098,9.882570304
294,4860,19619,8.488793717,9.884253763
295,2740,19649,7.915713199,9.885781725
296,1900,19753,7.549609165,9.891060658
297,1660,19877,7.414572881,9.897318563
298,3040,19928,8.019612794,9.899881057
299,6740,19974,8.815815204,9.902186707
300,7280,20065,8.892886141,9.906732283
301,5080,20091,8.533066541,9.908027233
302,2240,20183,7.714231145,9.912595945
303,1440,20183,7.272398393,9.912595945
304,3020,20337,8.01301211,9.920197166
305,1040,20486,6.946975992,9.927497005
306,7140,20499,8.873468055,9.928131383
307,780,20553,6.65929392,9.930762195
308,860,20555,6.756932389,9.930859499
309,3900,20611,8.268731832,9.933580193
310,9600,20713,9.169518377,9.938516801
311,2820,20716,7.944492164,9.938661628
312,9140,20815,9.120415664,9.94342916
313,1340,20863,7.200424893,9.945732534
314,3520,20914,8.166216269,9.94817407
315,480,20964,6.173786104,9.95056196
316,4140,20975,8.328451067,9.951086531
317,1580,21129,7.365180126,9.958401783
318,2880,21145,7.965545573,9.95915875
319,2600,21169,7.863266724,9.960293126
320,960,21174,6.866933284,9.960529293
321,1400,21196,7.244227516,9.961567764
322,3200,21220,8.070906089,9.962699412
323,460,21269,6.131226489,9.965005893
324,880,21319,6.779921907,9.967353973
325,2420,21321,7.791522819,9.967447781
326,1360,21386,7.215239979,9.970491781
327,600,21488,6.396929655,9.975249919
328,2560,21550,7.847762537,9.978131096
329,2100,21614,7.649692624,9.981096532
330,3100,21637,8.03915739,9.982160091
331,720,21714,6.579251212,9.985712493
332,600,21786,6.396929655,9.989022841
333,920,21914,6.82437367,9.994880981
334,4260,22119,8.357024439,10.00419225
335,6780,22135,8.821732381,10.00491535
336,740,22225,6.606650186,10.00897306
337,2100,22225,7.649692624,10.00897306
338,1860,22420,7.528331767,10.0177087
339,4080,22427,8.313852267,10.01802087
340,1480,22565,7.299797367,10.02415531
341,980,22656,6.887552572,10.02818
342,900,22703,6.802394763,10.03025235
343,340,22768,5.828945618,10.03311132
344,2920,22798,7.979338895,10.03442809
345,2260,22840,7.723120092,10.03626866
346,220,22949,5.393627546,10.04102964
347,400,22962,5.991464547,10.04159595
348,300,22977,5.703782475,10.04224899
349,840,23040,6.733401892,10.04498711
350,1240,23055,7.122866659,10.04563794
351,3500,23067,8.160518247,10.0461583
352,380,23177,5.940171253,10.05091569
353,16040,23243,9.682840881,10.05375929
354,3060,23507,8.026170195,10.06505353
355,2240,23511,7.714231145,10.06522368
356,8280,23625,9.021598247,10.07006075
357,3060,23679,8.026170195,10.07234386
358,860,23846,6.756932389,10.07937177
359,1320,23898,7.185387016,10.08155005
360,3900,23922,8.268731832,10.08255382
361,1920,23932,7.560080465,10.08297175
362,1240,23938,7.122866659,10.08322243
363,8420,24030,9.038365107,10.08705833
364,420,24050,6.040254711,10.08789028
365,140,24134,4.941642423,10.09137691
366,1840,24346,7.517520851,10.10012284
367,4360,24381,8.380227336,10.10155942
368,380,24396,5.940171253,10.10217446
369,4200,24693,8.342839804,10.11427508
370,3240,24830,8.083328609,10.11980788
371,1320,24894,7.185387016,10.12238209
372,240,24908,5.480638923,10.12294432
373,1280,25006,7.154615357,10.12687108
374,5460,25032,8.605204069,10.12791029
375,8980,25070,9.102755161,10.12942719
376,120,25124,4.787491743,10.13157884
377,1080,25250,6.98471632,10.13658143
378,80,25288,4.382026635,10.13808525
379,380,25388,5.940171253,10.1420319
380,900,25492,6.802394763,10.14611996
381,3580,25526,8.183118079,10.14745282
382,12440,25532,9.428672366,10.14768785
383,3620,25668,8.194229305,10.15300036
384,1400,25897,7.244227516,10.16188241
385,80,25979,4.382026635,10.1650438
386,940,25993,6.845879875,10.16558255
387,1580,26013,7.365180126,10.16635169
388,4360,26034,8.380227336,10.16715866
389,2920,26121,7.979338895,10.17049487
390,1940,26161,7.570443252,10.17202503
391,2460,26174,7.807916629,10.17252183
392,1500,26195,7.313220387,10.17332383
393,200,26255,5.298317367,10.17561173
394,720,26266,6.579251212,10.17603061
395,1580,26279,7.365180126,10.17652542
396,1260,26297,7.138867,10.17721014
397,1640,26377,7.402451521,10.1802477
398,2900,26478,7.972466016,10.18406948
399,6300,26492,8.748304912,10.18459808
400,4020,26519,8.299037182,10.18561674
401,500,26625,6.214608098,10.1896059
402,3800,26973,8.242756346,10.20259164
403,1720,27064,7.45007957,10.20595971
404,3080,27125,8.032684876,10.20821109
405,3480,27173,8.154787573,10.20997911
406,1740,27382,7.461640392,10.21764114
407,2500,27568,7.824046011,10.22441096
408,2100,27728,7.649692624,10.23019801
